feature_name,feature_id,attraction_id,match_type,image_count,missing_image_count,status
"قناة جر مياه مرفوعة","77","","unmatched","0","0","no_attraction_record"
"قناة مياه","78","","unmatched","0","0","no_attraction_record"
"قنوات مياه أثرية","79","","unmatched","0","0","no_attraction_record"
"كهف معطن الزيت","80","","unmatched","0","0","no_attraction_record"
"محطة تزود بالوقود","81","","unmatched","0","0","no_attraction_record"
"مرسى قابس","82","","unmatched","0","0","no_attraction_record"
"مرفأ بوقرادة المغمور بالمياه","83","","unmatched","0","0","no_attraction_record"
"مصيف الماء المعين","84","","unmatched","0","0","no_attraction_record"
"مطار بئر زلطن أو حقل السماح","85","","unmatched","0","0","no_attraction_record"
"مقبرة معركة بئر احكيم","86","","unmatched","0","0","no_attraction_record"
"منطقة بئر عياد","87","","unmatched","0","0","no_attraction_record"
"مهبط بئر عمران","88","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","89","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","90","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","91","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","92","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","93","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","94","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","95","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","96","","unmatched","0","0","no_attraction_record"
"موقع أثري مغمور بالمياه","97","","unmatched","0","0","no_attraction_record"
"موقع تراث مغمور بالمياه","98","","unmatched","0","0","no_attraction_record"
"موقع رأس العوير الأثري","99","","unmatched","0","0","no_attraction_record"
"موقع مرفأ مغمور بالمياه","100","","unmatched","0","0","no_attraction_record"
"موقع مغمور بالمياه","101","","unmatched","0","0","no_attraction_record"
"موقع مغمور بالمياه","102","","unmatched","0","0","no_attraction_record"
"موقع مغمور بالمياه","103","","unmatched","0","0","no_attraction_record"
"موقع مغمور بالمياه","104","","unmatched","0","0","no_attraction_record"
"موقع ميناء (بتراس ماجنا) المغمور بالمياه","105","","unmatched","0","0","no_attraction_record"
"موقع ميناء قديم مغمور بالمياه","106","","unmatched","0","0","no_attraction_record"
"موقع ميناء قديم مغمور بالمياه","107","","unmatched","0","0","no_attraction_record"
"موقع ميناء مغمور بالمياه","108","","unmatched","0","0","no_attraction_record"
"موقع ميناء مغمور بالمياه","109","","unmatched","0","0","no_attraction_record"
"أطلال ضريح وادي أم السبط","110","","unmatched","0","0","no_attraction_record"
"استراحة منتزه وادي الكوف","111","","unmatched","0","0","no_attraction_record"
"اطلال شروس الأثرية","112","","unmatched","0","0","no_attraction_record"
"الفوار أو البئر الساخن وادي تنازوفت","113","","unmatched","0","0","no_attraction_record"
"الوديان البيض","114","","unmatched","0","0","no_attraction_record"
"ام الدرابيك","115","","unmatched","0","0","no_attraction_record"
"بحيرات وادي انوير","116","","unmatched","0","0","no_attraction_record"
"بحيرة مجزم","117","","unmatched","0","0","no_attraction_record"
"بحيرة وادي المجينين","118","","unmatched","0","0","no_attraction_record"
"تجمع سكاني - وادي بي","119","","unmatched","0","0","no_attraction_record"
"تفرع طريق محمية وادي الأثل","120","","unmatched","0","0","no_attraction_record"
"تقاطع مدخل طريق وادي ماجر","121","","unmatched","0","0","no_attraction_record"
"جامع شروس","122","","unmatched","0","0","no_attraction_record"
"جسر وادي الكوف","123","","unmatched","0","0","no_attraction_record"
"جسر وادي الكوف القديم","124","LTA-FEAT-019","exact","0","0","matched_without_local_image"
"حديقة الشجرة","125","","unmatched","0","0","no_attraction_record"
"حقفة وادي اعطية","126","","unmatched","0","0","no_attraction_record"
"حمام وادي نينا","127","","unmatched","0","0","no_attraction_record"
"شط وادي جبرون","128","","unmatched","0","0","no_attraction_record"
"شط وادي سليم","129","","unmatched","0","0","no_attraction_record"
"شلال وادي مرقس","130","","unmatched","0","0","no_attraction_record"
"صخرة وادي رزق","131","","unmatched","0","0","no_attraction_record"
"عين وادي الباقول","132","","unmatched","0","0","no_attraction_record"
"عيون وادي الواكيم","133","","unmatched","0","0","no_attraction_record"
"قرية فرسطاء القديمة","134","","unmatched","0","0","no_attraction_record"
"قصر المقدم","135","","unmatched","0","0","no_attraction_record"
"قلتة وادي بوبو","136","","unmatched","0","0","no_attraction_record"
"قلعة وادي الباب","137","","unmatched","0","0","no_attraction_record"
"قوس أفزجار","138","","unmatched","0","0","no_attraction_record"
"كاف وادي الذيب","139","","unmatched","0","0","no_attraction_record"
"كهف مناخر العبد وادي الشويعر","140","","unmatched","0","0","no_attraction_record"
"محمية وادي الأثل","141","","unmatched","0","0","no_attraction_record"
"مدخل وادي تاملت","142","","unmatched","0","0","no_attraction_record"
"مستشفى وادي جارف القروي","143","","unmatched","0","0","no_attraction_record"
"مسجد وادي الحسون العتيق","144","","unmatched","0","0","no_attraction_record"
"مسلات وادي مردوم","145","","unmatched","0","0","no_attraction_record"
"مشروع وادي التوت","146","","unmatched","0","0","no_attraction_record"
"مشروع وادي الحي الزراعي","147","","unmatched","0","0","no_attraction_record"
"مشروع وادي الهيرة الزراعي","148","","unmatched","0","0","no_attraction_record"
"مشروع وادي برجوج الزراعي","149","","unmatched","0","0","no_attraction_record"
"مشروع وادي نينا الزراعي","150","","unmatched","0","0","no_attraction_record"
"مشروع وادي وامس الزراعي","151","","unmatched","0","0","no_attraction_record"
"مصب وادي القطارة","152","","unmatched","0","0","no_attraction_record"
"مصب وادي كعام","153","","unmatched","0","0","no_attraction_record"
"معلق وادي برزة","154","","unmatched","0","0","no_attraction_record"
"معلق وادي غبين","155","","unmatched","0","0","no_attraction_record"
"مفترق وادي عتبة","156","","unmatched","0","0","no_attraction_record"
"مقابر أثرية","157","","unmatched","0","0","no_attraction_record"
"مقبرة المنيخرات","158","","unmatched","0","0","no_attraction_record"
"منتجع الينابيع السياحي","159","","unmatched","0","0","no_attraction_record"
"منتجع وادي الكوف","160","","unmatched","0","0","no_attraction_record"
"منتجع وادي الكوف","161","","unmatched","0","0","no_attraction_record"
"منتجع وادي بالنور","162","","unmatched","0","0","no_attraction_record"
"منتجع وادي بالنور","163","","unmatched","0","0","no_attraction_record"
"منتجع وادي بنور - WB Resort","164","","unmatched","0","0","no_attraction_record"
"وادي أراماس","165","","unmatched","0","0","no_attraction_record"
"وادي أم الجداري","166","","unmatched","0","0","no_attraction_record"
"وادي أم الخيل","167","","unmatched","0","0","no_attraction_record"
"وادي أم الرتم","168","","unmatched","0","0","no_attraction_record"
"وادي أم العجرم","169","","unmatched","0","0","no_attraction_record"
"وادي أم القنديل","170","","unmatched","0","0","no_attraction_record"
"وادي أم عجرم","171","","unmatched","0","0","no_attraction_record"
"وادي أماسين","172","","unmatched","0","0","no_attraction_record"
"وادي أمها","173","","unmatched","0","0","no_attraction_record"
"وادي أنشال","174","","unmatched","0","0","no_attraction_record"
"وادي أنشال","175","","unmatched","0","0","no_attraction_record"
"وادي أوال","176","","unmatched","0","0","no_attraction_record"
"وادي أويس","177","","unmatched","0","0","no_attraction_record"
"وادي إزغيدة","178","","unmatched","0","0","no_attraction_record"
"وادي ابهوها","179","","unmatched","0","0","no_attraction_record"
"وادي ابيار عاشور بوالمعاوي","180","","unmatched","0","0","no_attraction_record"
"وادي اتينجستين","181","","unmatched","0","0","no_attraction_record"
"وادي ادرار","182","","unmatched","0","0","no_attraction_record"
"وادي ادرنجلكو","183","","unmatched","0","0","no_attraction_record"
"وادي ادروه","184","","unmatched","0","0","no_attraction_record"
"وادي ادس","185","","unmatched","0","0","no_attraction_record"
"وادي ارار","186","","unmatched","0","0","no_attraction_record"
"وادي ارفيد","187","","unmatched","0","0","no_attraction_record"
"وادي استوة","188","","unmatched","0","0","no_attraction_record"
"وادي استوة","189","","unmatched","0","0","no_attraction_record"
"وادي اشكربة","190","","unmatched","0","0","no_attraction_record"
"وادي اشيرما","191","","unmatched","0","0","no_attraction_record"
"وادي اطبيريق","192","","unmatched","0","0","no_attraction_record"
"وادي اغلاد","193","","unmatched","0","0","no_attraction_record"
"وادي اكيسومين","194","","unmatched","0","0","no_attraction_record"
"وادي الأثرون","195","","unmatched","0","0","no_attraction_record"
"وادي الأنصار","196","","unmatched","0","0","no_attraction_record"
"وادي الانجيل","197","","unmatched","0","0","no_attraction_record"
"وادي الباب","198","","unmatched","0","0","no_attraction_record"
"وادي الباكور","199","","unmatched","0","0","no_attraction_record"
"وادي البرك","200","","unmatched","0","0","no_attraction_record"
"وادي البغار","201","","unmatched","0","0","no_attraction_record"
"وادي البلاطة","202","","unmatched","0","0","no_attraction_record"
"وادي البنت","203","","unmatched","0","0","no_attraction_record"
"وادي البنية","204","","unmatched","0","0","no_attraction_record"
"وادي التمالسة","205","","unmatched","0","0","no_attraction_record"
"وادي التميمي","206","","unmatched","0","0","no_attraction_record"
"وادي التميمي","207","","unmatched","0","0","no_attraction_record"
"وادي الثابت","208","","unmatched","0","0","no_attraction_record"
"وادي الجبالي","209","","unmatched","0","0","no_attraction_record"
"وادي الجيفة","210","","unmatched","0","0","no_attraction_record"
"وادي الجيفة","211","","unmatched","0","0","no_attraction_record"
"وادي الحاج","212","","unmatched","0","0","no_attraction_record"
"وادي الحاد","213","","unmatched","0","0","no_attraction_record"
"وادي الحتوة","214","","unmatched","0","0","no_attraction_record"
"وادي الحجيانية","215","","unmatched","0","0","no_attraction_record"
"وادي الحريقة","216","","unmatched","0","0","no_attraction_record"
"وادي الحريقة","217","","unmatched","0","0","no_attraction_record"
"وادي الحسون أو وادي بن جبارة","218","","unmatched","0","0","no_attraction_record"
"وادي الحصير","219","","unmatched","0","0","no_attraction_record"
"وادي الحصين","220","","unmatched","0","0","no_attraction_record"
"وادي الحلشوف","221","","unmatched","0","0","no_attraction_record"
"وادي الحلفاوي","222","","unmatched","0","0","no_attraction_record"
"وادي الحمر","223","","unmatched","0","0","no_attraction_record"
"وادي الحميرا","224","","unmatched","0","0","no_attraction_record"
"وادي الحنش","225","","unmatched","0","0","no_attraction_record"
"وادي الحنيوة","226","","unmatched","0","0","no_attraction_record"
"وادي الحنيوة","227","","unmatched","0","0","no_attraction_record"
"وادي الخبطة","228","","unmatched","0","0","no_attraction_record"
"وادي الخبيري","229","","unmatched","0","0","no_attraction_record"
"وادي الدبوسية","230","","unmatched","0","0","no_attraction_record"
"وادي الدكيكين","231","","unmatched","0","0","no_attraction_record"
"وادي الدومة","232","","unmatched","0","0","no_attraction_record"
"وادي الديلة","233","","unmatched","0","0","no_attraction_record"
"وادي الذبان","234","","unmatched","0","0","no_attraction_record"
"وادي الذهب","235","","unmatched","0","0","no_attraction_record"
"وادي الذيب","236","","unmatched","0","0","no_attraction_record"
"وادي الراهب","237","","unmatched","0","0","no_attraction_record"
"وادي الرحيب","238","","unmatched","0","0","no_attraction_record"
"وادي الرحيب","239","","unmatched","0","0","no_attraction_record"
"وادي الرمان","240","","unmatched","0","0","no_attraction_record"
"وادي الرملة","241","","unmatched","0","0","no_attraction_record"
"وادي الزيتون","242","","unmatched","0","0","no_attraction_record"
"وادي الزيتون","243","","unmatched","0","0","no_attraction_record"
"وادي الزيتون","244","","unmatched","0","0","no_attraction_record"
"وادي السد","245","","unmatched","0","0","no_attraction_record"
"وادي السلام","246","","unmatched","0","0","no_attraction_record"
"وادي السهل","247","","unmatched","0","0","no_attraction_record"
"وادي السهل","248","","unmatched","0","0","no_attraction_record"
"وادي السوينات","249","","unmatched","0","0","no_attraction_record"
"وادي السوينيات","250","","unmatched","0","0","no_attraction_record"
"وادي السي موسى","251","","unmatched","0","0","no_attraction_record"
"وادي الشبروق - المرصص","252","","unmatched","0","0","no_attraction_record"
"وادي الشفار","253","","unmatched","0","0","no_attraction_record"
"وادي الشقاليف","254","","unmatched","0","0","no_attraction_record"
"وادي الشقة","255","","unmatched","0","0","no_attraction_record"
"وادي الشقف","256","","unmatched","0","0","no_attraction_record"
"وادي الشويعر","257","","unmatched","0","0","no_attraction_record"
"وادي الشيصو","258","","unmatched","0","0","no_attraction_record"
"وادي الصخرة","259","","unmatched","0","0","no_attraction_record"
"وادي الصخور","260","","unmatched","0","0","no_attraction_record"
"وادي الصنب","261","","unmatched","0","0","no_attraction_record"
"وادي الصنب","262","","unmatched","0","0","no_attraction_record"
"وادي الضحاك","263","","unmatched","0","0","no_attraction_record"
"وادي الطليعي","264","","unmatched","0","0","no_attraction_record"
"وادي العبد","265","","unmatched","0","0","no_attraction_record"
"وادي العزامي","266","","unmatched","0","0","no_attraction_record"
"وادي العقر","267","","unmatched","0","0","no_attraction_record"
"وادي العقر","268","","unmatched","0","0","no_attraction_record"
"وادي العودة","269","","unmatched","0","0","no_attraction_record"
"وادي العين","270","","unmatched","0","0","no_attraction_record"
"وادي العين","271","","unmatched","0","0","no_attraction_record"
"وادي العين","272","","unmatched","0","0","no_attraction_record"
"وادي العين","273","","unmatched","0","0","no_attraction_record"
"وادي الغاني","274","","unmatched","0","0","no_attraction_record"
"وادي الغدير","275","","unmatched","0","0","no_attraction_record"
"وادي الغدير","276","","unmatched","0","0","no_attraction_record"
"وادي الفلقان","277","","unmatched","0","0","no_attraction_record"
"وادي الفلو","278","","unmatched","0","0","no_attraction_record"
"وادي الفيض","279","","unmatched","0","0","no_attraction_record"
"وادي القبر","280","","unmatched","0","0","no_attraction_record"
"وادي القبرون","281","","unmatched","0","0","no_attraction_record"
"وادي القرجومة","282","","unmatched","0","0","no_attraction_record"
"وادي القصيبات وبردي القصيبية","283","","unmatched","0","0","no_attraction_record"
"وادي القطا","284","","unmatched","0","0","no_attraction_record"
"وادي القطارة","285","","unmatched","0","0","no_attraction_record"
"وادي القطارة الشرقي","286","","unmatched","0","0","no_attraction_record"
"وادي القطارة الغربي","287","","unmatched","0","0","no_attraction_record"
"وادي القطيفة","288","","unmatched","0","0","no_attraction_record"
"وادي القويطين","289","","unmatched","0","0","no_attraction_record"
"وادي الكاف","290","","unmatched","0","0","no_attraction_record"
"وادي الكرموسة","291","","unmatched","0","0","no_attraction_record"
"وادي الكلابيش","292","","unmatched","0","0","no_attraction_record"
"وادي الكويفية","293","","unmatched","0","0","no_attraction_record"
"وادي الماجار","294","","unmatched","0","0","no_attraction_record"
"وادي الماس","295","","unmatched","0","0","no_attraction_record"
"وادي المالح","296","","unmatched","0","0","no_attraction_record"
"وادي المحزم","297","","unmatched","0","0","no_attraction_record"
"وادي المردوم","298","","unmatched","0","0","no_attraction_record"
"وادي المريغة","299","","unmatched","0","0","no_attraction_record"
"وادي المسيد أو وادي الرمل","300","","unmatched","0","0","no_attraction_record"
"وادي المشيربة","301","","unmatched","0","0","no_attraction_record"
"وادي المطاريد أو وادي سيدي حسن","302","","unmatched","0","0","no_attraction_record"
"وادي المعمورة","303","","unmatched","0","0","no_attraction_record"
"وادي المعمورة","304","","unmatched","0","0","no_attraction_record"
"وادي المعمورة","305","","unmatched","0","0","no_attraction_record"
"وادي المعيقب","306","","unmatched","0","0","no_attraction_record"
"وادي المقرون","307","","unmatched","0","0","no_attraction_record"
"وادي الملاق","308","","unmatched","0","0","no_attraction_record"
"وادي الملكة","309","","unmatched","0","0","no_attraction_record"
"وادي المملوح","310","","unmatched","0","0","no_attraction_record"
"وادي المهبول","311","","unmatched","0","0","no_attraction_record"
"وادي المويلح","312","","unmatched","0","0","no_attraction_record"
"وادي الناقة","313","","unmatched","0","0","no_attraction_record"
"وادي الناقة","314","","unmatched","0","0","no_attraction_record"
"وادي النعيمه","315","","unmatched","0","0","no_attraction_record"
"وادي النوس","316","","unmatched","0","0","no_attraction_record"
"وادي الهمسة","317","","unmatched","0","0","no_attraction_record"
"وادي الهويات","318","","unmatched","0","0","no_attraction_record"
"وادي الواعر","319","","unmatched","0","0","no_attraction_record"
"وادي الودان","320","","unmatched","0","0","no_attraction_record"
"وادي الودان","321","","unmatched","0","0","no_attraction_record"
"وادي الوسيطة","322","","unmatched","0","0","no_attraction_record"
"وادي الوشكة","323","","unmatched","0","0","no_attraction_record"
"وادي ام العلق","324","","unmatched","0","0","no_attraction_record"
"وادي ام القرب","325","","unmatched","0","0","no_attraction_record"
"وادي امريون","326","","unmatched","0","0","no_attraction_record"
"وادي ان أفودا","327","","unmatched","0","0","no_attraction_record"
"وادي ان تانانايت","328","","unmatched","0","0","no_attraction_record"
"وادي انلالن","329","","unmatched","0","0","no_attraction_record"
"وادي ايرلالين","330","","unmatched","0","0","no_attraction_record"
"وادي ايسير","331","","unmatched","0","0","no_attraction_record"
"وادي ايسين","332","","unmatched","0","0","no_attraction_record"
"وادي ايضاهوين- أويس","333","","unmatched","0","0","no_attraction_record"
"وادي ايضر","334","","unmatched","0","0","no_attraction_record"
"وادي اين اهيد","335","","unmatched","0","0","no_attraction_record"
"وادي اين حقارين","336","","unmatched","0","0","no_attraction_record"
"وادي اينسين","337","","unmatched","0","0","no_attraction_record"
"وادي ايهيدن","338","","unmatched","0","0","no_attraction_record"
"وادي بئر الرملة","339","","unmatched","0","0","no_attraction_record"
"وادي باديس","340","","unmatched","0","0","no_attraction_record"
"وادي بالحمام","341","","unmatched","0","0","no_attraction_record"
"وادي برجوج","342","","unmatched","0","0","no_attraction_record"
"وادي بردي غنيوة","343","","unmatched","0","0","no_attraction_record"
"وادي برزة","344","","unmatched","0","0","no_attraction_record"
"وادي برور","345","","unmatched","0","0","no_attraction_record"
"وادي بزرة","346","","unmatched","0","0","no_attraction_record"
"وادي بسيس أو وادي كريم","347","","unmatched","0","0","no_attraction_record"
"وادي بلعريض","348","","unmatched","0","0","no_attraction_record"
"وادي بلغدير","349","","unmatched","0","0","no_attraction_record"
"وادي بلوز","350","","unmatched","0","0","no_attraction_record"
"وادي بن جواد","351","","unmatched","0","0","no_attraction_record"
"وادي بن هنيدي","352","","unmatched","0","0","no_attraction_record"
"وادي بن وليد","353","","unmatched","0","0","no_attraction_record"
"وادي بني وليد","354","","unmatched","0","0","no_attraction_record"
"وادي بو الفريط","355","","unmatched","0","0","no_attraction_record"
"وادي بو روحي","356","","unmatched","0","0","no_attraction_record"
"وادي بوالحنافيس","357","","unmatched","0","0","no_attraction_record"
"وادي بوالرصف","358","","unmatched","0","0","no_attraction_record"
"وادي بوالرصف","359","","unmatched","0","0","no_attraction_record"
"وادي بوالكراميس","360","","unmatched","0","0","no_attraction_record"
"وادي بوالكف","361","","unmatched","0","0","no_attraction_record"
"وادي بوبو","362","","unmatched","0","0","no_attraction_record"
"وادي بوتركية","363","","unmatched","0","0","no_attraction_record"
"وادي بوحجر","364","","unmatched","0","0","no_attraction_record"
"وادي بوحسنة","365","","unmatched","0","0","no_attraction_record"
"وادي بودويشة","366","","unmatched","0","0","no_attraction_record"
"وادي بوزنة","367","","unmatched","0","0","no_attraction_record"
"وادي بوشماري","368","","unmatched","0","0","no_attraction_record"
"وادي بوشويبة","369","","unmatched","0","0","no_attraction_record"
"وادي بوشويكة","370","","unmatched","0","0","no_attraction_record"
"وادي بوعمود","371","","unmatched","0","0","no_attraction_record"
"وادي بوفراش","372","","unmatched","0","0","no_attraction_record"
"وادي بوقشيطة","373","","unmatched","0","0","no_attraction_record"
"وادي بوقندول","374","","unmatched","0","0","no_attraction_record"
"وادي بومشفة","375","","unmatched","0","0","no_attraction_record"
"وادي بونبح","376","","unmatched","0","0","no_attraction_record"
"وادي بي الكبير","377","","unmatched","0","0","no_attraction_record"
"وادي تاتي","378","","unmatched","0","0","no_attraction_record"
"وادي تاجنؤورت","379","","unmatched","0","0","no_attraction_record"
"وادي تاروت","380","","unmatched","0","0","no_attraction_record"
"وادي تازرفت","381","","unmatched","0","0","no_attraction_record"
"وادي تاشوينات","382","","unmatched","0","0","no_attraction_record"
"وادي تانشالت","383","","unmatched","0","0","no_attraction_record"
"وادي تباركت","384","","unmatched","0","0","no_attraction_record"
"وادي تخرخوري","385","","unmatched","0","0","no_attraction_record"
"وادي ترغت","386","","unmatched","0","0","no_attraction_record"
"وادي ترغت","387","","unmatched","0","0","no_attraction_record"
"وادي ترغلات","388","","unmatched","0","0","no_attraction_record"
"وادي تسبا","389","","unmatched","0","0","no_attraction_record"
"وادي تشلواوت","390","","unmatched","0","0","no_attraction_record"
"وادي تغسات","391","","unmatched","0","0","no_attraction_record"
"وادي تكبارت","392","","unmatched","0","0","no_attraction_record"
"وادي تكظالت","393","","unmatched","0","0","no_attraction_record"
"وادي تلمسين","394","","unmatched","0","0","no_attraction_record"
"وادي تلووا","395","","unmatched","0","0","no_attraction_record"
"وادي تلووات","396","","unmatched","0","0","no_attraction_record"
"وادي تليغزتين","397","","unmatched","0","0","no_attraction_record"
"وادي تمام","398","","unmatched","0","0","no_attraction_record"
"وادي تناروت","399","","unmatched","0","0","no_attraction_record"
"وادي تناروت","400","","unmatched","0","0","no_attraction_record"
"وادي تنازوفت","401","","unmatched","0","0","no_attraction_record"
"وادي توت الفاهم","402","","unmatched","0","0","no_attraction_record"
"وادي تورسين","403","","unmatched","0","0","no_attraction_record"
"وادي تيجل تير","404","","unmatched","0","0","no_attraction_record"
"وادي تيدوا","405","","unmatched","0","0","no_attraction_record"
"وادي تيدوا","406","","unmatched","0","0","no_attraction_record"
"وادي تيشلوات","407","","unmatched","0","0","no_attraction_record"
"وادي تيقنوين","408","","unmatched","0","0","no_attraction_record"
"وادي تيكستين","409","","unmatched","0","0","no_attraction_record"
"وادي تين ابلال","410","","unmatched","0","0","no_attraction_record"
"وادي تين اموتين","411","","unmatched","0","0","no_attraction_record"
"وادي تين اينستن","412","","unmatched","0","0","no_attraction_record"
"وادي تين بيرسولا","413","","unmatched","0","0","no_attraction_record"
"وادي تينناي","414","","unmatched","0","0","no_attraction_record"
"وادي تيهي","415","","unmatched","0","0","no_attraction_record"
"وادي تيهيدين","416","","unmatched","0","0","no_attraction_record"
"وادي جارف","417","","unmatched","0","0","no_attraction_record"
"وادي جرب المالية","418","","unmatched","0","0","no_attraction_record"
"وادي جرجار امه","419","","unmatched","0","0","no_attraction_record"
"وادي جرجور","420","","unmatched","0","0","no_attraction_record"
"وادي جيهلالين","421","","unmatched","0","0","no_attraction_record"
"وادي حبون","422","","unmatched","0","0","no_attraction_record"
"وادي حلق الدب","423","","unmatched","0","0","no_attraction_record"
"وادي خنافس","424","","unmatched","0","0","no_attraction_record"
"وادي خنافس","425","","unmatched","0","0","no_attraction_record"
"وادي دربوك","426","","unmatched","0","0","no_attraction_record"
"وادي درغيس","427","","unmatched","0","0","no_attraction_record"
"وادي درنة","428","","unmatched","0","0","no_attraction_record"
"وادي درنة","429","","unmatched","0","0","no_attraction_record"
"وادي دريدر","430","","unmatched","0","0","no_attraction_record"
"وادي دينار","431","","unmatched","0","0","no_attraction_record"
"وادي رحملالين","432","","unmatched","0","0","no_attraction_record"
"وادي رزق","433","","unmatched","0","0","no_attraction_record"
"وادي زازا","434","","unmatched","0","0","no_attraction_record"
"وادي زرزار","435","","unmatched","0","0","no_attraction_record"
